stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
1001O00010C1,,Barão de Tefé,,-22.897488,-43.186627,,,0,,,,
1002O00010C0,,AquaRio,,-22.893310,-43.192600,,,0,,,,
1002O00013C0,,Hospital dos Servidores,,-22.895380,-43.187890,,,0,,,,
1003O00067C2,,Cidade do Samba,,-22.894509,-43.197401,,,0,,,,
1004O00003C0,,Monsenhor Manuel Gomes,,-22.888600,-43.220010,,,0,,,,
1004O00005C0,,Péter Lund,,-22.884640,-43.226500,,,0,,,,
1001O00006C0,,Sacadura Cabral,,-22.897310,-43.187370,,,0,,,,
1002O00007C0,,Jardins Suspensos do Valongo,,-22.898400,-43.187730,,,0,,,,
1002O00001C0,,Livramento,,-22.897970,-43.195400,,,0,,,,
1002O00004C0,,Mortona,,-22.895410,-43.196400,,,0,,,,
1002O00008C0,,Ladeira do Faria,,-22.900640,-43.192960,,,0,,,,
1003O00023C0,,Cidade do Samba,,-22.894510,-43.198069,,,0,,,,
1003O00017C0,,Santo Cristo,,-22.901242,-43.206571,,,0,,,,
1004O00008C0,,Brasil,,-22.883850,-43.225470,,,0,,,,
1004O00014C0,,Brasil,,-22.883430,-43.225950,,,0,,,,
1004O00009C9,,Creche Municipal Ladeira dos Funcionários,,-22.879491,-43.224601,,,0,,,,
1004O00013C0,,CIEP Henfil,,-22.876802,-43.218708,,,0,,,,
1003O00042C0,,CMS José Messias do Carmos,,-22.900666,-43.200768,,,0,,,,
1002O00012C2,,Moinho Fluminense,,-22.894498,-43.190443,,,0,,,,
1004O00018C0,,Ponto Final: Caju :: General Sampaio,,-22.877428,-43.216143,,,0,,,,
1003O00031C0,,Dinah de Queiroz :: Sentido Ponte / T. Gentileza / São Cristóvão,,-22.906314,-43.209542,,,0,,,,
1004O00006C0,,Bela,,-22.885460,-43.229080,,,0,,,,
1003O00029C0,,Comandante Garcia Pires :: Sentido São Cristóvão / Linha Vermelha,,-22.901252,-43.209690,,,0,,,,
1004O00026C0,,Estaleiro Inhaúma,,-22.874689,-43.210347,,,0,,,,
1003O00012C0,,Porto Maravalley,,-22.897611,-43.203760,,,0,,,,
1003O00033C0,,Parada Praia Formosa,,-22.902970,-43.208376,,,0,,,,
1003O00015C0,,Rodoviária do Rio,,-22.898842,-43.207794,,,0,,,,
1003O00016C0,,Cordeiro da Graça,,-22.897528,-43.205672,,,0,,,,
1005O00046C2,,Ponto Final: Candelária :: Linhas 324 e 329,,-22.902430,-43.181646,,,0,,,,
1005O00101C0,,Miguel Couto,,-22.900050,-43.181710,,,0,,,,
1005O00125C0,,Marrecas,,-22.911830,-43.178660,,,0,,,,
1005O00131C0,,São Bento,,-22.897980,-43.180860,,,0,,,,
1005O00135C0,,Treze de Maio,,-22.909900,-43.177010,,,0,,,,
1005O00142C0,,Ponto Final: Candelária :: Linha 343,,-22.902320,-43.181850,,,0,,,,
1005O00029S0,QOAL,"BRS 1,2,3: Beira Mar",,-22.910790,-43.171300,,,0,,,,
1005O00063S0,R729,"BRS 1,2,4: General Caldwell",,-22.909780,-43.191010,,,0,,,,
1005O00146S0,2BTM,"BRS 1,2,3,4,5,I: Cruz Vermelha",,-22.912400,-43.189380,,,0,,,,
1005O00020S0,P7C9,"BRS 1,4,5,I: Praça Tiradentes",,-22.907230,-43.182720,,,0,,,,
1005O00016S9,2DDJ,"BRS 1,2: Treze de Maio",,-22.908360,-43.177340,,,0,,,,
1004O00025C0,,Brasil,,-22.888207,-43.219215,,,0,,,,
1005O00043S9,I7DC,"BRS 2,3,4,I: Senado",,-22.911180,-43.192030,,,0,,,,
1005O00018S0,UOBK,"BRS 1,2,3,4,I: Santa Luzia",,-22.908530,-43.172250,,,0,,,,
1005O00152S0,ZFKL,"BRS 1,2,3,4,5,I: Erasmo Braga",,-22.905190,-43.173670,,,0,,,,
1004O00023C0,,Hospital Estadual Anchieta,,-22.875748,-43.222790,,,0,,,,
1004O00022C0,,Hospital Estadual Anchieta,,-22.875759,-43.222431,,,0,,,,
1005O00041C0,,Riachuelo,,-22.914480,-43.188430,,,0,,,,
1004O00019C9,,Creche Municipal Ladeira dos Funcionários,,-22.879428,-43.224736,,,0,,,,
1004O00021C9,,CIEP Henfil,,-22.876667,-43.219271,,,0,,,,
1004O00020C9,,General Gurjão,,-22.878081,-43.216041,,,0,,,,
1004O00024C0,,Parque de Material de Eletrônica da Aeronáutica,,-22.876400,-43.213810,,,0,,,,
1005O00059S0,MUL8,"BRS 1,3: Rua de Santana",,-22.906880,-43.195240,,,0,,,,
1005O00072C0,,Graças,,-22.915650,-43.188200,,,0,,,,
1005O00005P0,,Terminal Procópio Ferreira :: Plat. Central,,-22.904898,-43.192358,,,0,1005O00377T9,,,Central
1005O00140C0,,Praça dos Estivadores,,-22.899467,-43.187639,,,0,,,,
1005O00034S9,,Debret,,-22.907320,-43.173960,,,0,,,,
1005O00052S0,TNF3,BRS 5: Rio Branco,,-22.901430,-43.180090,,,0,,,,
1005O00155S0,TUGI,BRS 4: Rio Branco,,-22.901750,-43.181070,,,0,,,,
1005O00055S0,U2DE,"BRS 1,3: Uruguaiana",,-22.902100,-43.182164,,,0,,,,
1005O00031S0,U87M,BRS 2: Uruguaiana,,-22.902414,-43.183098,,,0,,,,
1005O00156S0,UCUD,BRS 2: Passos,,-22.903290,-43.185830,,,0,,,,
1005O00053S0,UZRH,BRS 5: Tomé de Sousa,,-22.903840,-43.187530,,,0,,,,
1005O00157S0,V5T9,"BRS 2,3: Praça da República",,-22.904460,-43.189460,,,0,,,,
1005O00033S0,VRRW,BRS 4: Central,,-22.905420,-43.192400,,,0,,,,
1005O00054S0,VUIH,BRS 5: Central,,-22.905730,-43.193370,,,0,,,,
1005L00022S0,VUWS,"BRS 1,2,3: Central",,-22.905910,-43.193950,,,0,,,,
1005O00069S0,UD56,BRS 4: Tomé de Sousa,,-22.903710,-43.187110,,,0,,,,
1005O00004S0,2FMS,"BRS 2,4: Central",,-22.905275,-43.192459,,,0,,,,
1005O00019S0,X314,"BRS 5,I: Central",,-22.906090,-43.193530,,,0,,,,
1005O00025S0,XAUT,"BRS 3,4: Central",,-22.905900,-43.192960,,,0,,,,
1005O00056S0,XM63,"BRS 1,2: Central",,-22.905410,-43.191450,,,0,,,,
1005O00064S0,XRRU,BRS 2B: Praça da República,,-22.904784,-43.189485,,,0,,,,
1005O00150S0,YKD7,"BRS 5,I: Praça da República",,-22.904540,-43.188760,,,0,,,,
1005O00026S9,YSVN,"BRS 3,4: Passos",,-22.903440,-43.185320,,,0,,,,
1005O00057S0,YSXN,"BRS 1,2,5: Passos",,-22.903190,-43.184560,,,0,,,,
1005O00027S0,2GPU,BRS 4: Central,,-22.905620,-43.191510,,,0,,,,
1005O00061S0,2H9J,"BRS 1,2,3: Praça da República",,-22.904810,-43.189000,,,0,,,,
1005O00094C0,,Aeroporto Santos Dumont,,-22.909880,-43.168460,,,0,,,,
1005O00013S0,MUVL,"BRS 4,5: Rua de Santana",,-22.906770,-43.194930,,,0,,,,
1005O00151S0,,Franklin Roosevelt,,-22.910264,-43.171781,,,0,,,,
1005O00068S0,,Almirante Barroso,,-22.907564,-43.172783,,,0,,,,
1005O00129P0,,Terminal Procópio Ferreira :: Plat. Norte,,-22.904565,-43.191892,,,0,1005O00377T9,,,Norte
1005O00076P0,,Terminal Rodoviário Menezes Cortes :: Plat. B,,-22.905406,-43.174822,,,0,tcxw,,,B
1005O00120C2,,Ponto Final: Candelária :: Linha 326,,-22.902564,-43.182057,,,0,,,,
1005O00164C0,,Ponto Regulador: Castelo :: Linha 006,,-22.908830,-43.174770,,,0,,,,
1005O00189C0,,Anfilófio de Carvalho,,-22.908430,-43.174650,,,0,,,,
1005O00190C0,,Ancine,,-22.909323,-43.174306,,,0,,,,
1005O00202C0,,Ponto Final: Castelo :: Linha 2114,,-22.904410,-43.175050,,,0,,,,
1005O00211C0,,Professor Clementino Fraga,,-22.908590,-43.195010,,,0,,,,
1005O00090C0,,Marechal Floriano,,-22.901620,-43.185280,,,0,,,,
1005O00215C0,,Costa Barros,,-22.914800,-43.189040,,,0,,,,
